City_ID,City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,owen sound,44.5672,-80.9435,-5.79,80,56,6.45,CA,1738680660
148,garden city,42.3256,-83.331,-1.59,76,75,6.17,US,1738680661
149,port alfred,-33.5906,26.891,27.32,85,4,0.89,ZA,1738680662
150,ribeira grande,38.5167,-28.7,14.87,82,75,3.09,PT,1738680664
151,cabedelo,-6.9811,-34.8339,24.37,74,100,6.65,BR,1738680665
152,gbarnga,6.9956,-9.4722,38.03,12,3,1.36,LR,1738680666
153,magadan,59.5667,150.8,-26.71,76,1,2.62,RU,1738680667
154,archangelos,36.2149,28.1149,15.99,76,78,3.39,GR,1738680668
155,sheridan,44.8333,-106.9173,-17.52,79,100,1.54,US,1738680669
156,xai-xai,-25.0519,33.6442,29.5,61,3,6.58,MZ,1738680670
157,crane,31.3974,-102.3501,15.57,79,20,5.02,US,1738680671
158,port mathurin,-19.6833,63.4167,27.47,77,94,3.42,MU,1738680672
159,markovo,57.3206,107.0881,-15.07,88,100,5.64,RU,1738680674
160,pont rouge,48.8833,-72.0825,-11.4,83,100,6.12,CA,1738680675
161,ago-are,8.5,3.4167,38.23,8,7,2.57,NG,1738680676
162,kismayo,-0.3582,42.5454,25.51,79,92,8.73,SO,1738680677
163,kirensk,57.7853,108.1119,-17.82,86,100,5.45,RU,1738680678
164,galveston,29.3669,-94.9669,20.59,93,100,2.06,US,1738680679
165,divo,5.8397,-5.36,37.86,13,85,1.82,CI,1738680680
166,port elizabeth,-33.918,25.5701,25.73,82,0,4.92,ZA,1738680681
167,keflavik,64.0049,-22.5624,-0.76,80,75,11.32,IS,1738680604
168,necochea,-38.5473,-58.7368,23.22,43,0,7.3,AR,1738680684
169,chernyshevskiy,63.0128,112.4714,-30.56,88,100,6.18,RU,1738680685
170,illizi,26.4833,8.4667,22.8,18,32,4.2,DZ,1738680686
171,galliano,29.4422,-90.2992,21.0,88,100,2.06,US,1738680687
172,bilibino,68.0546,166.4372,-40.47,100,100,0.98,RU,1738680688
173,hermanus,-34.4187,19.2345,23.78,68,0,4.81,ZA,1738680689
174,ondo,7.1,4.8333,37.1,24,59,1.91,NG,1738680690
175,smithers,54.7804,-127.1743,-26.82,76,0,0.0,CA,1738680589
176,atafu village,-8.5421,-172.5159,28.35,68,11,6.85,TK,1738680693
177,bandar seri begawan,4.9403,114.9481,24.99,94,75,2.68,BN,1738680694
178,healesville,-37.65,145.5167,18.63,84,100,0.45,AU,1738680695
179,cidreira,-30.1811,-50.2056,28.81,70,3,5.09,BR,1738680696
180,carnarvon,-24.8667,113.6333,28.87,68,33,7.82,AU,1738680697
181,gangolli,13.65,74.6667,24.83,72,12,2.24,IN,1738680698
182,cole harbour,44.6724,-63.4751,1.07,77,75,7.2,CA,1738680699
183,torata,-17.0769,-70.8433,17.56,76,39,4.06,PE,1738680701
184,as sulayyil,20.4607,45.5779,20.83,13,69,4.61,SA,1738680702
185,tocopilla,-22.092,-70.1979,23.53,71,74,1.75,CL,1738680703
186,khurba,50.4072,136.8819,-15.48,90,100,8.26,RU,1738680704
187,ocampo,21.65,-101.5,12.86,47,0,0.91,MX,1738680705
188,colonia,50.9333,6.95,3.84,76,5,2.24,DE,1738680706
189,lensk,60.7253,114.9278,-21.71,98,100,1.94,RU,1738680707
190,fale old settlement,-9.3852,-171.2468,28.18,72,25,5.82,TK,1738680708
191,fuglafjordur,62.244,-6.814,3.88,68,100,5.86,FO,1738680710
192,tralee,52.2704,-9.7026,6.77,76,72,9.8,IE,1738680711
193,mar del plata,-38.0023,-57.5575,22.75,76,75,7.72,AR,1738680712
194,tazovsky,67.4667,78.7,-30.05,100,100,1.01,RU,1738680713
195,nagar karnul,16.4821,78.3247,25.27,33,69,3.16,IN,1738680714
196,pechora,65.1472,57.2244,-11.32,89,100,4.46,RU,1738680715
197,tomatlan,19.9333,-105.25,23.19,22,0,1.13,MX,1738680716
198,tolanaro,-25.0319,46.9987,27.04,78,75,5.66,MG,1738680717
199,uturoa,-16.7333,-151.4333,27.68,70,5,3.43,PF,1738680719
200,petushki,55.9264,39.461,-0.55,69,99,2.04,RU,1738680720
201,arno,60.1167,18.6333,0.54,98,100,4.7,SE,1738680721
202,talnakh,69.4865,88.3972,-19.74,99,100,1.68,RU,1738680722
203,ulsteinvik,62.3432,5.8487,10.5,90,100,4.94,NO,1738680723
204,ust-nera,64.5667,143.2,-41.05,94,30,0.78,RU,1738680724
205,barcelos,41.5388,-8.6151,13.28,58,100,1.51,PT,1738680725
206,sisimiut,66.9395,-53.6735,-19.46,96,100,3.0,GL,1738680726
207,san-pedro,4.7485,-6.6363,31.72,50,37,5.07,CI,1738680728
208,atasu,48.6814,71.6433,-8.4,79,57,4.72,KZ,1738680729
209,vadso,70.0744,29.7487,-13.91,85,75,3.09,NO,1738680730
210,saint-philippe,-21.3585,55.7679,28.31,84,36,4.03,RE,1738680731
211,princeville,45.7668,-61.2985,-1.38,83,75,9.77,CA,1738680732
212,lebu,-37.6167,-73.65,18.61,52,89,3.31,CL,1738680733
213,boden,65.8252,21.6886,-16.3,97,100,0.67,SE,1738680734
214,sarai naurang,32.8259,70.7814,14.63,26,1,2.41,PK,1738680736
215,khorugh,37.4897,71.553,-18.31,72,100,0.69,TJ,1738680737
216,utrik,11.2278,169.8474,27.04,73,95,9.57,MH,1738680738
217,kalmunai,7.4167,81.8167,25.57,72,100,3.74,LK,1738680739
218,hithadhoo,-0.6,73.0833,27.99,72,20,3.99,MV,1738680740
219,howard springs,-12.497,131.047,23.95,88,99,6.28,AU,1738680741
220,almeirim,-1.5233,-52.5817,21.49,98,100,2.4,BR,1738680742
221,rio grande,-32.035,-52.0986,29.16,67,30,3.76,BR,1738680743
222,mount isa,-20.7333,139.5,26.87,83,100,3.09,AU,1738680745
223,isokyro,63.0117,22.3333,-9.09,84,100,3.66,FI,1738680746
224,broken hill,-31.95,141.4333,29.57,33,87,2.87,AU,1738680747
225,ventspils,57.3894,21.5606,1.96,87,20,3.6,LV,1738680748
226,mont-tremblant,46.1949,-74.6264,-10.79,90,100,5.28,CA,1738680749
227,susuman,62.7833,148.1667,-44.87,97,43,0.42,RU,1738680750
228,walvis bay,-22.9575,14.5053,22.04,70,69,7.58,NA,1738680751
229,namtsy,62.7161,129.6658,-30.69,96,100,3.31,RU,1738680752
230,witnica,52.6732,14.8977,3.35,60,30,1.84,PL,1738680754
231,atar,20.5169,-13.0499,26.89,8,0,4.59,MR,1738680755
232,salinopolis,-0.6136,-47.3561,26.95,82,96,2.32,BR,1738680756
233,praia da vitoria,38.7333,-27.0667,15.14,77,75,7.11,PT,1738680757
234,nuuk,64.1835,-51.7216,-11.66,56,40,4.63,GL,1738680758
235,el alto,-4.2714,-81.2147,25.76,58,36,4.25,PE,1738680759
236,undurkhaan,47.3194,110.6556,-21.04,76,29,4.81,MN,1738680760
237,xilin hot,43.9667,116.0333,-22.21,83,13,4.66,CN,1738680762
238,neiva,2.9273,-75.2819,24.94,83,75,2.06,CO,1738680763
239,codrington,-38.2667,141.9667,16.76,58,100,7.07,AU,1738680764
240,bubaque,11.2833,-15.8333,26.08,47,90,4.25,GW,1738680765
241,sydney,-33.8679,151.2073,24.63,88,0,3.6,AU,1738680330
242,vorgashor,67.5833,63.95,-24.12,99,15,1.65,RU,1738680767
243,kikwit,-5.041,18.8162,30.4,50,100,1.53,CD,1738680768
244,nacajuca,18.1333,-93.0167,24.45,85,0,3.92,MX,1738680769
245,coquimbo,-29.9533,-71.3436,21.85,68,0,3.6,CL,1738680770
246,plettenberg bay,-34.0527,23.3716,23.34,75,14,2.87,ZA,1738680772
247,hobyo,5.3505,48.5268,24.38,78,6,10.57,SO,1738680773
248,ilhabela,-23.7781,-45.3581,29.82,62,97,2.51,BR,1738680774
249,tangalle,6.024,80.7911,25.72,77,49,4.74,LK,1738680775
250,sitka,57.0531,-135.33,-2.06,46,0,2.06,US,1738680776
251,alice springs,-23.7,133.8833,30.75,29,0,7.72,AU,1738680777
252,prince rupert,54.3161,-130.3201,-2.17,30,0,7.72,CA,1738680707
253,tondano,1.3038,124.9112,19.05,93,100,0.96,ID,1738680779
254,charlestown,-32.95,151.6667,23.74,89,97,0.89,AU,1738680780
255,invercargill,-46.4,168.35,9.45,91,75,1.25,NZ,1738680782
256,grand-lahou,5.1367,-5.0242,31.09,56,49,5.0,CI,1738680783
257,santiago de cao,-7.9589,-79.2392,20.07,88,20,3.6,PE,1738680784
258,queenstown,-31.8976,26.8753,37.68,10,72,7.0,ZA,1738680785
259,guerrero negro,27.9769,-114.0611,14.18,88,25,2.45,MX,1738680786
260,san antonio,29.4241,-98.4936,19.58,96,100,1.54,US,1738680566
261,tchintabaraden,15.8969,5.7985,34.1,8,4,5.39,NE,1738680788
262,karratha,-20.7377,116.8463,30.81,69,41,1.37,AU,1738680789
263,sovetskiy,61.3614,63.5842,-14.95,97,97,1.66,RU,1738680790
264,shimoda,34.6667,138.95,2.47,68,2,10.69,JP,1738680792
265,genhe,50.7833,121.5167,-36.71,100,78,0.46,CN,1738680793
266,launceston,-41.45,147.1667,14.8,72,100,7.72,AU,1738680794
